year,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,Other Races and Unknown combined,White
1999,,163.0791044776119,215.20645161290338,0.0,207.8469045120673
2000,282.525,154.32957746478874,207.31165644171764,0.0,208.1224083769633
2001,363.76666666666665,161.216,204.84626436781605,0.0,206.0325888324873
2002,283.51666666666665,169.71125000000006,211.01229508196712,0.0,203.54470468431802
2003,347.8222222222222,153.8513513513514,206.59762532981534,0.0,192.87328699106243
2004,369.36,155.50659340659334,203.93281653746757,0.0,187.57418397626128
2005,354.6,157.283908045977,209.0530150753769,0.0,188.1552031714568
2006,355.14444444444445,159.25300000000004,208.50129533678745,0.0,189.98510848126202
2007,385.1111111111112,162.1409090909091,211.88444444444443,0.0,190.84557823129242
2008,357.04444444444437,164.4418803418804,221.45879518072275,0.0,193.50329457364361
2009,292.0375,161.8990990990991,223.09476190476192,0.0,193.6751445086708
2010,239.75454545454548,165.3937500000001,217.2158878504671,0.0,188.06331707317088
2011,337.27777777777777,163.44748201438856,223.69541284403667,0.0,192.47395121951232
2012,317.1500000000001,169.01773049645402,220.49522727272725,0.0,193.63323529411758
2013,401.22,173.94810126582283,225.17666666666645,0.0,192.91774975751702
2014,291.06666666666666,173.35828220858897,220.45187637969084,0.0,191.73427458617363
2015,423.74545454545455,171.70773809523806,221.0732739420937,0.0,187.9159068865177
