,year,race,count
0,1999,American Indian or Alaska Native,366.9
1,1999,Asian or Pacific Islander,163.0791044776119
2,1999,Black or African American,215.20645161290338
3,1999,Other Races and Unknown combined,0.0
4,1999,White,207.8469045120673
5,2000,American Indian or Alaska Native,282.525
6,2000,Asian or Pacific Islander,154.32957746478874
7,2000,Black or African American,207.31165644171764
8,2000,Other Races and Unknown combined,0.0
9,2000,White,208.1224083769633
10,2001,American Indian or Alaska Native,363.76666666666665
11,2001,Asian or Pacific Islander,161.216
12,2001,Black or African American,204.84626436781605
13,2001,Other Races and Unknown combined,0.0
14,2001,White,206.0325888324873
15,2002,American Indian or Alaska Native,283.51666666666665
16,2002,Asian or Pacific Islander,169.71125000000006
17,2002,Black or African American,211.01229508196712
18,2002,Other Races and Unknown combined,0.0
19,2002,White,203.54470468431802
20,2003,American Indian or Alaska Native,347.8222222222222
21,2003,Asian or Pacific Islander,153.8513513513514
22,2003,Black or African American,206.5976253298153
23,2003,Other Races and Unknown combined,0.0
24,2003,White,192.87328699106243
25,2004,American Indian or Alaska Native,369.36
26,2004,Asian or Pacific Islander,155.50659340659334
27,2004,Black or African American,203.93281653746757
28,2004,Other Races and Unknown combined,0.0
29,2004,White,187.57418397626128
30,2005,American Indian or Alaska Native,354.6
31,2005,Asian or Pacific Islander,157.283908045977
32,2005,Black or African American,209.0530150753769
33,2005,Other Races and Unknown combined,0.0
34,2005,White,188.1552031714568
35,2006,American Indian or Alaska Native,355.14444444444445
36,2006,Asian or Pacific Islander,159.25300000000004
37,2006,Black or African American,208.50129533678745
38,2006,Other Races and Unknown combined,0.0
39,2006,White,189.98510848126202
40,2007,American Indian or Alaska Native,385.11111111111114
41,2007,Asian or Pacific Islander,162.1409090909091
42,2007,Black or African American,211.88444444444445
43,2007,Other Races and Unknown combined,0.0
44,2007,White,190.84557823129242
45,2008,American Indian or Alaska Native,357.04444444444437
46,2008,Asian or Pacific Islander,164.4418803418804
47,2008,Black or African American,221.45879518072275
48,2008,Other Races and Unknown combined,0.0
49,2008,White,193.50329457364356
50,2009,American Indian or Alaska Native,292.0375
51,2009,Asian or Pacific Islander,161.8990990990991
52,2009,Black or African American,223.0947619047619
53,2009,Other Races and Unknown combined,0.0
54,2009,White,193.6751445086708
55,2010,American Indian or Alaska Native,239.75454545454548
56,2010,Asian or Pacific Islander,165.3937500000001
57,2010,Black or African American,217.2158878504671
58,2010,Other Races and Unknown combined,0.0
59,2010,White,188.06331707317088
60,2011,American Indian or Alaska Native,337.27777777777777
61,2011,Asian or Pacific Islander,163.44748201438856
62,2011,Black or African American,223.69541284403667
63,2011,Other Races and Unknown combined,0.0
64,2011,White,192.47395121951232
65,2012,American Indian or Alaska Native,317.1500000000001
66,2012,Asian or Pacific Islander,169.01773049645402
67,2012,Black or African American,220.49522727272725
68,2012,Other Races and Unknown combined,0.0
69,2012,White,193.6332352941176
70,2013,American Indian or Alaska Native,401.22
71,2013,Asian or Pacific Islander,173.94810126582283
72,2013,Black or African American,225.17666666666648
73,2013,Other Races and Unknown combined,0.0
74,2013,White,192.917749757517
75,2014,American Indian or Alaska Native,291.06666666666666
76,2014,Asian or Pacific Islander,173.35828220858897
77,2014,Black or African American,220.45187637969084
78,2014,Other Races and Unknown combined,0.0
79,2014,White,191.73427458617363
80,2015,American Indian or Alaska Native,423.74545454545455
81,2015,Asian or Pacific Islander,171.70773809523806
82,2015,Black or African American,221.0732739420937
83,2015,Other Races and Unknown combined,0.0
84,2015,White,187.91590688651772
